,PET.RWTC.D,PET.RBRTE.D,Spread,5-MA,10-MA
2018-07-30,71.19,74.99,3.799999999999997,3.6400000000000032,3.252999999999999
2018-07-31,69.88,74.16,4.280000000000001,3.9440000000000026,3.3969999999999985
2018-08-01,68.8,72.28,3.480000000000004,4.132000000000002,3.5709999999999993
2018-08-02,68.95,72.95,4.0,4.348000000000002,3.719
2018-08-03,68.49,72.48,3.990000000000009,3.9100000000000024,3.9500000000000015
2018-08-06,69.01,72.51,3.5,3.8500000000000028,3.745000000000002
2018-08-07,69.17,72.31,3.1400000000000006,3.6220000000000026,3.7830000000000013
2018-08-08,66.92,70.71,3.789999999999992,3.684,3.908
2018-08-09,66.81,70.55,3.739999999999995,3.6319999999999992,3.9899999999999993
2018-08-10,67.61,71.0,3.3900000000000006,3.511999999999998,3.7109999999999985
2018-08-13,67.25,70.62,3.3700000000000045,3.4859999999999984,3.6679999999999993
2018-08-14,67.04,70.77,3.7299999999999898,3.6039999999999965,3.612999999999998
2018-08-15,65.07,68.38,3.3100000000000023,3.5079999999999982,3.595999999999998
2018-08-16,65.44,69.21,3.769999999999996,3.5139999999999985,3.5729999999999977
2018-08-17,65.93,70.14,4.209999999999994,3.6779999999999973,3.594999999999996
2018-08-20,66.5,71.11,4.609999999999999,3.925999999999996,3.705999999999996
